"stations";"morn_fore";"day_fore";"min_fore";"max_fore";"night_fore"
"1";"ALT";"276.52";"278.14";"272.62";"278.35";"272.62"
"2";"ANT";"269.98";"273.69";"266.95";"274.45";"267.64"
"3";"BAS";"276.11";"280.33";"275.35";"280.33";"275.35"
"4";"BER";"275.37";"278.33";"272.93";"278.34";"272.93"
"5";"CDF";"272.37";"275.19";"270.21";"275.29";"270.21"
"6";"CHD";"272.77";"276.32";"269.8";"276.32";"269.8"
"7";"CHM";"272.01";"275.19";"270.26";"275.48";"270.26"
"8";"DAV";"269.31";"271.82";"263.59";"272.18";"263.59"
"9";"ELM";"272.76";"275.4";"268.32";"275.4";"268.32"
"10";"ENG";"273.43";"274.55";"269.87";"274.73";"270.29"
"11";"GRC";"268.52";"274.4";"268.52";"275.47";"269.06"
"12";"GRH";"266.82";"271.4";"264.94";"272.35";"266.43"
"13";"GSB";"263.84";"269.87";"262.34";"270.58";"264.17"
"14";"GVE";"275.66";"280.49";"275.66";"281.09";"275.72"
"15";"JUN";"257.02";"261.99";"257.02";"262.55";"258.66"
"16";"LUG";"277.43";"287.35";"277.43";"287.35";"279.29"
"17";"LUZ";"276.17";"277.33";"272.67";"277.92";"272.67"
"18";"MER";"276.35";"278.07";"273.04";"278.07";"273.59"
"19";"NEU";"276.58";"279.68";"274.82";"280.03";"274.82"
"20";"OTL";"278.1";"286.6";"277.88";"286.6";"278.88"
"21";"PAY";"275.48";"279.22";"274.47";"279.82";"274.47"
"22";"RAG";"276.08";"277";"269.95";"277";"269.95"
"23";"SAE";"263.39";"264.06";"259.11";"264.65";"259.11"
"24";"SAM";"268.43";"272.34";"263.68";"272.84";"264.56"
"25";"SBE";"268.57";"272.56";"265.97";"272.59";"265.97"
"26";"SIA";"268.23";"272.62";"265.35";"273.08";"266.27"
"27";"SIO";"277.12";"280.84";"274.19";"281.41";"274.19"
"28";"SMA";"275.59";"276.87";"272.52";"277.82";"272.52"
"29";"STG";"273.89";"274.49";"271.35";"275.72";"271.35"
