"stations";"morn_fore";"day_fore";"min_fore";"max_fore";"night_fore"
"1";"ALT";"265.84";"278.36";"265.41";"278.36";"272.49"
"2";"ANT";"262.05";"275.61";"259.89";"275.61";"269.2"
"3";"BAS";"271.68";"278.99";"271.68";"280.01";"273.32"
"4";"BER";"268.96";"276.88";"268.96";"277.52";"270.4"
"5";"CDF";"266.54";"274.52";"266.54";"274.73";"268.64"
"6";"CHD";"262.9";"275.5";"262.88";"275.91";"268.98"
"7";"CHM";"266.34";"273.66";"266.34";"274.19";"268.08"
"8";"DAV";"255.76";"270.85";"255.53";"270.85";"263.41"
"9";"ELM";"261.29";"273.58";"261.29";"273.58";"267.29"
"10";"ENG";"263.27";"275";"262.62";"275";"270.4"
"11";"GRC";"264.41";"276.47";"262.22";"276.47";"269.51"
"12";"GRH";"261.35";"273.64";"257.98";"273.64";"267.83"
"13";"GSB";"258.77";"271.81";"257.44";"271.81";"265.15"
"14";"GVE";"272.34";"278.68";"272.34";"279.44";"273.07"
"15";"JUN";"253.24";"264.38";"251.4";"264.38";"259.48"
"16";"LUG";"273.66";"282.02";"273.66";"282.02";"275.83"
"17";"LUZ";"266.74";"275.83";"266.74";"276.82";"270.1"
"18";"MER";"266.77";"278.38";"266.26";"278.38";"274.11"
"19";"NEU";"270.92";"278.14";"270.92";"278.61";"272.49"
"20";"OTL";"273.65";"283.24";"273.65";"283.24";"275.93"
"21";"PAY";"269.5";"277.71";"269.5";"278.26";"271.95"
"22";"RAG";"262.53";"274.84";"262.53";"275.39";"265.75"
"23";"SAE";"251.89";"263.17";"251.89";"263.17";"255.77"
"24";"SAM";"256.05";"272.05";"254.95";"272.05";"265.02"
"25";"SBE";"259.67";"271.87";"259.67";"271.87";"266.44"
"26";"SIA";"258.45";"271.98";"257.45";"271.98";"266.17"
"27";"SIO";"268.52";"281.54";"267.88";"281.54";"274.14"
"28";"SMA";"268.32";"276.5";"268.32";"276.98";"270.04"
"29";"STG";"265.68";"273.05";"265.68";"274.34";"268.66"
